timeStamp,ghi,air_temp,windsp,winddir
2014/1/2 15:22,3.08,2.9,1.76,187.8
2014/1/2 15:23,3.08,2.9,1.9,197.8
2014/1/2 15:24,3.18,2.9,1.82,199.4
2014/1/2 15:25,3.8,2.9,2.22,197.2
2014/1/2 15:26,4,2.9,2.3,212.3
2014/1/2 15:27,4.62,2.86,2.14,248.7
2014/1/2 15:28,4.87,2.8,2,199.6
2014/1/2 15:29,5.59,2.7,1.74,190.4
2014/1/2 15:30,1.23,2.7,1.78,193.6
2014/1/2 15:31,1.62,2.7,1.72,192.2
2014/1/2 15:32,2.04,2.62,1.66,188.2
2014/1/2 15:33,2.52,2.6,1.7,195.5
2014/1/2 15:34,3.17,2.56,1.7,183.1
2014/1/2 15:35,3.9,2.5,1.66,184
2014/1/2 15:36,4.64,2.44,1.56,179.6
2014/1/2 15:37,5.36,2.4,1.8,196.7
2014/1/2 15:38,6.34,2.4,1.72,183.2
2014/1/2 15:39,7.36,2.4,1.58,172.3
2014/1/2 15:40,9.3,2.48,1.42,176
2014/1/2 15:41,11.3,2.52,1.7,177.2
2014/1/2 15:42,12.74,2.6,1.56,184.8
2014/1/2 15:43,15.48,2.62,1.84,193
2014/1/2 15:44,19.81,2.7,1.62,189
2014/1/2 15:45,23.63,2.8,1.38,157.8
2014/1/2 15:46,26.22,2.86,1.52,167.6
2014/1/2 15:47,28.8,2.9,1.44,170
2014/1/2 15:48,31.31,2.98,1.38,176.1
2014/1/2 15:49,34.02,3,1.04,130.2
2014/1/2 15:50,36.61,3,1.2,111
2014/1/2 15:51,39.27,3.06,1.24,92
2014/1/2 15:52,42.23,3.1,1.4,101.9
2014/1/2 15:53,45.15,3.22,1.3,90.8
2014/1/2 15:54,47.96,3.32,1.14,71.63
2014/1/2 15:55,50.59,3.4,1.34,67.06
2014/1/2 15:56,53.45,3.46,1.2,92
2014/1/2 15:57,56.38,3.4,1.32,69.21
2014/1/2 15:58,59.33,3.4,1.34,64.22
2014/1/2 15:59,62.17,3.4,1.32,70.16
2014/1/2 16:00,65.37,3.4,1.2,69.25
2014/1/2 16:01,67.98,3.4,0.88,96.2
